1924-1239,Saint-Aubin-sur-Mer,Clay,,W,19240809,1,253351,,, Lefebvre Dibon,U,,FRA,,253352,,, Jandelle,U,,FRA,,UNK,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1963-1322,Dieppe,,,W,19630801,1,262103,,, Lejeune,U,,FRA,,262104,,,Mrs Tremblay,U,,GBR,,7-5 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1923-1087,Breslau,Clay,,W,19230527,1,253998,,, Lenz,U,,GER,,250705,,,Hedy Dyrenfurth,U,,GER,,6-3 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1936-1242,Wengen,Clay,,W,19360720,1,241364,,, Lindegger,U,,SUI,,241365,,, Kyburz,U,,SUI,,6-1 6-0,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1941-1101,Bratislava Carpathian Chps,Clay,,W,19410925,1,237358,,, Low,U,,SVK,,232831,,, Schmid,U,,GER,,6-2 7-5,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1926-1270,Montana 1,Clay,,W,19260817,1,251303,,, Lowell,U,,GBR,,251304,,, Blydenstein,U,,NED,,6-1 6-0,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1939-1305,Monte Carlo University Games,Clay,,W,19390820,1,239030,,, Lunewska,U,,POL,,239031,,, Grenier,U,,FRA,,6-2 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1924-1269,Bad Neuenahr,Clay,,W,19240816,1,252235,,, Lutzmann,U,,GER,,253432,,, Suschen Ruetten,U,,GER,,UNK,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1925-1269,Bad Neuenahr,Clay,,W,19250813,1,252235,,, Lutzmann,U,,GER,,252236,,,Lidda Neumerkel,U,,GER,,UNK,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1938-1281,Tisbury,,,W,19380801,1,239930,,, Macfarlane,U,,GBR,,238876,,,A M Boyall,U,,GBR,,6-4 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1924-1016,Allahabad,,,W,19240204,1,247823,,, Mackinnon,U,,GBR,,252644,,,Mrs T Horn,U,,IND,,6-3 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1923-1217,Zermatt,Clay,,W,19230813,1,254442,,, Malcolm,U,,SUI,,254443,,, De Faria,U,,SUI,,UNK,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1941-1090,Viareggio,Clay,,W,19410814,1,237343,,, Marchesi,U,,ITA,,237344,,,Violetta Becker,U,,ITA,,6-4 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
